DateTimeStamp,Speed,Volume,Occupancy
6/14/22 0:00,355,693,17
6/14/22 0:15,352,592,17
6/14/22 0:30,345,472,16
6/14/22 0:45,352,486,11
6/14/22 1:00,352,456,12
6/14/22 1:15,361,398,7
6/14/22 1:30,353,376,19
6/14/22 1:45,356,413,12
6/14/22 2:00,365,361,8
6/14/22 2:15,358,281,7
6/14/22 2:30,358,387,9
6/14/22 2:45,372,283,11
6/14/22 3:00,360,399,9
6/14/22 3:15,360,429,11
6/14/22 3:30,355,439,14
6/14/22 3:45,361,563,14
6/14/22 4:00,364,671,17
6/14/22 4:15,362,533,13
6/14/22 4:30,361,729,21
6/14/22 4:45,358,1233,33
6/14/22 5:00,352,1387,38
6/14/22 5:15,354,1215,34
6/14/22 5:30,336,1527,54
6/14/22 5:45,320,2128,69
6/14/22 6:00,312,2180,71
6/14/22 6:15,305,1893,71
6/14/22 6:30,312,1641,65
6/14/22 6:45,259,1957,89
6/14/22 7:00,213,1957,112
6/14/22 7:15,218,1813,107
6/14/22 7:30,277,1563,76
6/14/22 7:45,226,2054,107
6/14/22 8:00,241,1972,95
6/14/22 8:15,196,1867,115
6/14/22 8:30,268,1573,79
6/14/22 8:45,318,1715,54
6/14/22 9:00,315,1839,57
6/14/22 9:15,306,1836,67
6/14/22 9:30,297,1832,71
6/14/22 9:45,287,1868,74
6/14/22 10:00,301,1742,66
6/14/22 10:15,324,1674,58
6/14/22 10:30,325,1682,54
6/14/22 10:45,309,1610,63
6/14/22 11:00,320,1844,63
6/14/22 11:15,318,1609,55
6/14/22 11:30,288,1711,68
6/14/22 11:45,293,1769,65
6/14/22 12:00,250,1719,85
6/14/22 12:15,319,1558,53
6/14/22 12:30,281,1662,70
6/14/22 12:45,316,1742,58
6/14/22 13:00,311,1722,61
6/14/22 13:15,276,1654,72
6/14/22 13:30,246,1690,86
6/14/22 13:45,182,1588,117
6/14/22 14:00,199,1678,110
6/14/22 14:15,294,1707,66
6/14/22 14:30,270,1769,77
6/14/22 14:45,171,1764,127
6/14/22 15:00,225,1488,93
6/14/22 15:15,170,1667,124
6/14/22 15:30,189,1715,115
6/14/22 15:45,177,1650,125
6/14/22 16:00,167,1908,132
6/14/22 16:15,161,1746,136
6/14/22 16:30,252,1685,90
6/14/22 16:45,275,1835,77
6/14/22 17:00,160,1485,130
6/14/22 17:15,160,1641,131
6/14/22 17:30,135,1549,142
6/14/22 17:45,127,1549,152
6/14/22 18:00,164,1803,131
6/14/22 18:15,251,1623,86
6/14/22 18:30,328,1708,51
6/14/22 18:45,320,1646,51
6/14/22 19:00,341,1359,38
6/14/22 19:15,333,1383,41
6/14/22 19:30,338,1291,36
6/14/22 19:45,340,1325,39
6/14/22 20:00,344,1187,32
6/14/22 20:15,340,1107,32
6/14/22 20:30,335,1213,34
6/14/22 20:45,333,1101,33
6/14/22 21:00,339,1223,35
6/14/22 21:15,338,913,30
6/14/22 21:30,337,1090,31
6/14/22 21:45,337,1016,28
6/14/22 22:00,345,1026,29
6/14/22 22:15,334,1060,30
6/14/22 22:30,337,1091,32
6/14/22 22:45,341,911,24
6/14/22 23:00,350,781,20
6/14/22 23:15,345,809,20
6/14/22 23:30,342,846,22
6/14/22 23:45,351,760,19
6/15/22 0:00,346,767,21
